;ID;Vakantiekenmerken;Perioden;Totaal;Auto;Touringcar;Vliegtuig;Overig vervoer;Niet georganiseerd
230;230;*Tsjechië;2007;30;1;8;20;0;0
231;231;*Tsjechië;2008;39;7;0;25;0;7
232;232;*Tsjechië;2009;29;4;0;17;2;2
233;233;*Tsjechië;2010;19;3;12;3;0;3
234;234;*Tsjechië;2011;21;3;4;12;2;0
235;235;*Tsjechië;2012;41;0;0;0;0;0
236;236;*Tsjechië;2013;0;0;0;0;0;0
237;237;*Tsjechië;2014;0;0;0;0;0;0
238;238;*Tsjechië;2015;0;0;0;0;0;0
239;239;*Tsjechië;2016;0;0;0;0;0;0
240;240;*Turkije;2002;8;0;0;8;0;0
241;241;*Turkije;2003;4;0;0;4;0;0
242;242;*Turkije;2004;6;0;0;6;0;0
243;243;*Turkije;2005;20;0;0;20;0;0
244;244;*Turkije;2006;9;0;0;9;0;0
245;245;*Turkije;2007;8;0;0;8;0;0
246;246;*Turkije;2008;21;0;0;19;0;0
247;247;*Turkije;2009;10;0;0;10;0;0
248;248;*Turkije;2010;3;0;0;3;0;0
249;249;*Turkije;2011;17;0;0;17;0;0
250;250;*Turkije;2012;23;0;0;0;0;0
251;251;*Turkije;2013;0;0;0;0;0;0
252;252;*Turkije;2014;0;0;0;0;0;0
253;253;*Turkije;2015;0;0;0;0;0;0
254;254;*Turkije;2016;0;0;0;0;0;0
255;255;*Egypte;2002;0;0;0;0;0;0
256;256;*Egypte;2003;3;0;0;3;0;0
257;257;*Egypte;2004;0;0;0;0;0;0
258;258;*Egypte;2005;0;0;0;0;0;0
259;259;*Egypte;2006;0;0;0;0;0;0
260;260;*Egypte;2007;3;0;0;3;0;0
261;261;*Egypte;2008;0;0;0;0;0;0
262;262;*Egypte;2009;0;0;0;0;0;0
263;263;*Egypte;2010;6;0;0;6;0;0
264;264;*Egypte;2011;4;0;0;4;0;0
265;265;*Egypte;2012;3;0;0;0;0;0
266;266;*Egypte;2013;0;0;0;0;0;0
267;267;*Egypte;2014;0;0;0;0;0;0
268;268;*Egypte;2015;0;0;0;0;0;0
269;269;*Egypte;2016;0;0;0;0;0;0
270;270;*Verre Oosten;2002;0;0;0;0;0;0
271;271;*Verre Oosten;2003;2;0;0;2;0;0
272;272;*Verre Oosten;2004;0;0;0;0;0;0
273;273;*Verre Oosten;2005;5;0;0;5;0;0
274;274;*Verre Oosten;2006;0;0;0;0;0;0
275;275;*Verre Oosten;2007;0;0;0;0;0;0
276;276;*Verre Oosten;2008;0;0;0;0;0;0
277;277;*Verre Oosten;2009;7;0;0;7;0;0
278;278;*Verre Oosten;2010;0;0;0;0;0;0
279;279;*Verre Oosten;2011;3;0;0;3;0;0
280;280;*Verre Oosten;2012;3;0;0;0;0;0
281;281;*Verre Oosten;2013;0;0;0;0;0;0
282;282;*Verre Oosten;2014;0;0;0;0;0;0
283;283;*Verre Oosten;2015;0;0;0;0;0;0
284;284;*Verre Oosten;2016;0;0;0;0;0;0
285;285;*Verenigde Staten;2002;6;0;0;6;0;0
286;286;*Verenigde Staten;2003;7;0;0;7;0;0
287;287;*Verenigde Staten;2004;6;0;0;6;0;0
288;288;*Verenigde Staten;2005;2;0;0;2;0;0
289;289;*Verenigde Staten;2006;9;0;0;9;0;0
290;290;*Verenigde Staten;2007;5;0;0;5;0;0
291;291;*Verenigde Staten;2008;8;0;0;8;0;0
292;292;*Verenigde Staten;2009;7;0;0;7;0;0
293;293;*Verenigde Staten;2010;2;0;0;2;0;0
294;294;*Verenigde Staten;2011;2;0;0;2;0;0
295;295;*Verenigde Staten;2012;0;0;0;0;0;0
296;296;*Verenigde Staten;2013;0;0;0;0;0;0
297;297;*Verenigde Staten;2014;0;0;0;0;0;0
298;298;*Verenigde Staten;2015;0;0;0;0;0;0
299;299;*Verenigde Staten;2016;0;0;0;0;0;0
300;300;*Caribisch gebied;2002;0;0;0;0;0;0
301;301;*Caribisch gebied;2003;0;0;0;0;0;0
302;302;*Caribisch gebied;2004;4;0;0;4;0;0
303;303;*Caribisch gebied;2005;2;0;0;2;0;0
304;304;*Caribisch gebied;2006;7;0;0;0;0;7
305;305;*Caribisch gebied;2007;3;3;0;0;0;0
306;306;*Caribisch gebied;2008;0;0;0;0;0;0
307;307;*Caribisch gebied;2009;0;0;0;0;0;0
308;308;*Caribisch gebied;2010;0;0;0;0;0;0
309;309;*Caribisch gebied;2011;0;0;0;0;0;0
310;310;*Caribisch gebied;2012;5;0;0;0;0;0
311;311;*Caribisch gebied;2013;0;0;0;0;0;0
312;312;*Caribisch gebied;2014;0;0;0;0;0;0
313;313;*Caribisch gebied;2015;0;0;0;0;0;0
314;314;*Caribisch gebied;2016;0;0;0;0;0;0
315;315;*Overige landen;2002;37;2;0;19;6;7
316;316;*Overige landen;2003;16;0;0;12;0;0
317;317;*Overige landen;2004;34;9;0;19;0;4
318;318;*Overige landen;2005;29;0;0;25;0;1
319;319;*Overige landen;2006;73;0;0;62;0;2
320;320;*Overige landen;2007;41;0;0;41;0;0
321;321;*Overige landen;2008;48;0;0;43;0;5
322;322;*Overige landen;2009;75;7;0;62;0;6
323;323;*Overige landen;2010;59;9;0;48;0;2
324;324;*Overige landen;2011;70;10;0;55;0;5
325;325;*Overige landen;2012;48;0;0;0;0;0
326;326;*Overige landen;2013;0;0;0;0;0;0
327;327;*Overige landen;2014;0;0;0;0;0;0
328;328;*Overige landen;2015;0;0;0;0;0;0
329;329;*Overige landen;2016;0;0;0;0;0;0
330;330;Eigen bezit;2002;194;0;0;0;0;194
331;331;Eigen bezit;2003;230;0;0;0;0;230
332;332;Eigen bezit;2004;223;0;0;0;0;223
333;333;Eigen bezit;2005;161;0;0;0;0;161
334;334;Eigen bezit;2006;173;0;0;0;0;173
335;335;Eigen bezit;2007;240;0;0;0;0;240
336;336;Eigen bezit;2008;248;0;0;0;0;248
337;337;Eigen bezit;2009;282;0;0;0;0;282
338;338;Eigen bezit;2010;247;0;0;0;0;247
339;339;Eigen bezit;2011;279;0;0;0;0;279
340;340;Eigen bezit;2012;151;0;0;0;0;0
341;341;Eigen bezit;2013;0;0;0;0;0;0
342;342;Eigen bezit;2014;0;0;0;0;0;0
343;343;Eigen bezit;2015;0;0;0;0;0;0
344;344;Eigen bezit;2016;0;0;0;0;0;0
345;345;zomerhuis;2002;60;0;0;0;0;60
