"ID";"Vakantiekenmerken";"Perioden";"Totaal_1";"Auto_2";"TreinAutoslaaptrein_3";"Touringcar_4";"Vliegtuig_5";"OverigeVervoermiddelen_6";"GeorganiseerdeReisPerAuto_7";"GeorganiseerdeReisPerTouringcar_8";"GeorganiseerdeReisPerVliegtuig_9";"GeorganiseerdeReisMetOverigVervoer_10";"NietGeorganiseerdeReizen_11"
"159";"120";"2011JJ00";"     156";"     125";"       8";"       0";"      14";"      10";"      92";"       0";"      14";"      10";"      41"
"160";"120";"2012JJ00";"     171";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"161";"120";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"162";"120";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"163";"120";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"164";"120";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"165";"121";"2002JJ00";"    1507";"    1321";"      35";"      85";"       1";"      65";"     406";"      85";"       1";"      64";"     950"
"166";"121";"2003JJ00";"    1488";"    1228";"      82";"     127";"       3";"      48";"     533";"     127";"       3";"     101";"     724"
"167";"121";"2004JJ00";"    1664";"    1332";"     110";"     150";"      31";"      41";"     621";"     150";"      31";"     125";"     738"
"168";"121";"2005JJ00";"    1610";"    1375";"      75";"      78";"      17";"      65";"     600";"      78";"      13";"      90";"     829"
"169";"121";"2006JJ00";"    1634";"    1415";"      58";"      84";"      26";"      51";"     592";"      80";"      26";"      84";"     852"
"170";"121";"2007JJ00";"    1738";"    1481";"      68";"     131";"      19";"      40";"     652";"     131";"      19";"      83";"     854"
"171";"121";"2008JJ00";"    1878";"    1622";"      95";"      93";"      10";"      58";"     688";"      93";"      10";"     122";"     965"
"172";"121";"2009JJ00";"    2060";"    1766";"     107";"     124";"      31";"      33";"     744";"     124";"      11";"     115";"    1066"
