"ID";"Vakantiekenmerken";"Perioden";"TotaalNaarOrganisatievormEnVervoer_1";"GeorganiseerdeReisPerAuto_2";"GeorganiseerdeReisPerTouringcar_3";"GeorganiseerdeReisPerVliegtuig_4";"GeorganiseerdeReisMetOverigVervoer_5";"NietGeorganiseerdeReizen_6"
"50";"113";"2007JJ00";"     551";"     245";"      60";"       8";"     103";"     136"
"51";"113";"2008JJ00";"     532";"     255";"      38";"      10";"      79";"     150"
"52";"113";"2009JJ00";"     534";"     198";"      69";"      12";"      96";"     159"
"53";"113";"2010JJ00";"     535";"     237";"      47";"      31";"      65";"     156"
"54";"113";"2011JJ00";"     499";"     224";"      34";"      41";"      67";"     132"
"55";"113";"2012JJ00";"     532";"     256";"      57";"      48";"      48";"     123"
"56";"113";"2013JJ00";"     437";"     224";"      36";"      31";"      63";"      84"
"57";"113";"2014JJ00";"     502";"     189";"      61";"      10";"      54";"     187"
"58";"113";"2015JJ00";"     428";"     235";"      31";"      21";"      56";"      85"
"59";"113";"2016JJ00";"     396";"     193";"      23";"      24";"      68";"      88"
"60";"114";"2002JJ00";"      77";"       2";"       .";"      68";"       0";"       7"
"61";"114";"2003JJ00";"      48";"       0";"       .";"      36";"       2";"       9"
"62";"114";"2004JJ00";"     100";"       3";"       .";"      91";"       .";"       3"
"63";"114";"2005JJ00";"      74";"       0";"       .";"      67";"       .";"       2"
"64";"114";"2006JJ00";"      97";"       0";"       .";"      90";"       .";"       3"
"65";"114";"2007JJ00";"     109";"       0";"       0";"     106";"       0";"       2"
"66";"114";"2008JJ00";"     115";"       5";"       .";"     110";"       .";"       0"
"67";"114";"2009JJ00";"     100";"       0";"       .";"      97";"       0";"       3"
"68";"114";"2010JJ00";"      74";"       0";"       .";"      71";"       .";"       3"
"69";"114";"2011JJ00";"     125";"       .";"       .";"     123";"       .";"       2"
"70";"114";"2012JJ00";"     117";"       .";"       .";"       .";"       .";"       ."
"71";"114";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"72";"114";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"73";"114";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"74";"114";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"75";"115";"2002JJ00";"       3";"       0";"       .";"       3";"       0";"       0"
"76";"115";"2003JJ00";"       8";"       0";"       .";"       8";"       0";"       0"
"77";"115";"2004JJ00";"      12";"       0";"       .";"      12";"       .";"       0"
"78";"115";"2005JJ00";"      13";"       0";"       .";"      13";"       .";"       0"
"79";"115";"2006JJ00";"      12";"       0";"       .";"      12";"       .";"       0"
"80";"115";"2007JJ00";"       8";"       0";"       0";"       8";"       0";"       0"
"81";"115";"2008JJ00";"       9";"       0";"       .";"       9";"       .";"       0"
"82";"115";"2009JJ00";"       5";"       0";"       .";"       5";"       0";"       0"
"83";"115";"2010JJ00";"      12";"       0";"       .";"      12";"       .";"       0"
"84";"115";"2011JJ00";"       0";"       .";"       .";"       .";"       .";"       ."
"85";"115";"2012JJ00";"      24";"       .";"       .";"       .";"       .";"       ."
"86";"115";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"87";"115";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"88";"115";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"89";"115";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"90";"116";"2002JJ00";"      17";"       3";"       .";"       6";"       0";"       4"
"91";"116";"2003JJ00";"      32";"       6";"       .";"       7";"       2";"      12"
"92";"116";"2004JJ00";"      22";"       0";"       .";"      10";"       .";"      12"
"93";"116";"2005JJ00";"      29";"       5";"       .";"      11";"       .";"       7"
"94";"116";"2006JJ00";"      37";"       4";"       .";"      11";"       .";"      12"
"95";"116";"2007JJ00";"      23";"       3";"       0";"      10";"       4";"       6"
"96";"116";"2008JJ00";"      29";"       2";"       .";"      17";"       .";"       8"
"97";"116";"2009JJ00";"      21";"       5";"       .";"       5";"       0";"       9"
"98";"116";"2010JJ00";"      38";"      11";"       .";"      10";"       .";"      17"
"99";"116";"2011JJ00";"      23";"       .";"       1";"       9";"       .";"      13"
"100";"116";"2012JJ00";"      38";"       .";"       .";"       .";"       .";"       ."
"101";"116";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"102";"116";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"103";"116";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"104";"116";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"105";"117";"2002JJ00";"      36";"       0";"       .";"       6";"       0";"      30"
"106";"117";"2003JJ00";"      32";"       5";"       .";"      20";"       1";"       3"
"107";"117";"2004JJ00";"      36";"       0";"       .";"      26";"       .";"       9"
"108";"117";"2005JJ00";"      14";"       0";"       .";"       3";"       .";"      11"
"109";"117";"2006JJ00";"      19";"       0";"       .";"       8";"       .";"       7"
"110";"117";"2007JJ00";"      27";"       6";"       0";"      13";"       2";"       5"
"111";"117";"2008JJ00";"      26";"       9";"       .";"       3";"       .";"      14"
"112";"117";"2009JJ00";"      22";"       3";"       .";"      11";"       0";"       8"
"113";"117";"2010JJ00";"      34";"       7";"       3";"      11";"       .";"      14"
"114";"117";"2011JJ00";"      37";"       6";"       .";"      13";"       2";"      16"
"115";"117";"2012JJ00";"      25";"       .";"       .";"       .";"       .";"       ."
"116";"117";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"117";"117";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"118";"117";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"119";"117";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"120";"118";"2002JJ00";"     345";"       6";"       .";"     134";"     158";"      25"
"121";"118";"2003JJ00";"     371";"      14";"      25";"     155";"     142";"      35"
"122";"118";"2004JJ00";"     273";"       8";"       .";"     158";"       .";"      20"
"123";"118";"2005JJ00";"     240";"      18";"       .";"      98";"       .";"      31"
"124";"118";"2006JJ00";"     272";"       4";"       .";"     126";"       .";"      38"
"125";"118";"2007JJ00";"     322";"      20";"      28";"     168";"      83";"      24"
"126";"118";"2008JJ00";"     226";"       7";"       .";"      99";"       .";"      25"
"127";"118";"2009JJ00";"     272";"      11";"      22";"     155";"      58";"      26"
"128";"118";"2010JJ00";"     307";"       8";"      26";"     184";"      60";"      29"
"129";"118";"2011JJ00";"     313";"      13";"      38";"     133";"     114";"      15"
"130";"118";"2012JJ00";"     306";"       .";"       .";"       .";"       .";"       ."
"131";"118";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"132";"118";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"133";"118";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"134";"118";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"135";"119";"2002JJ00";"      14";"       1";"       .";"      10";"       0";"       3"
"136";"119";"2003JJ00";"      21";"       0";"       .";"      16";"       0";"       5"
"137";"119";"2004JJ00";"      12";"       0";"       .";"       7";"       .";"       4"
"138";"119";"2005JJ00";"       3";"       0";"       .";"       3";"       .";"       0"
"139";"119";"2006JJ00";"      25";"       0";"       .";"      20";"       .";"       5"
"140";"119";"2007JJ00";"      16";"       3";"       0";"      11";"       1";"       1"
"141";"119";"2008JJ00";"      23";"       0";"       .";"      19";"       .";"       4"
"142";"119";"2009JJ00";"      15";"       0";"       .";"      15";"       0";"       0"
"143";"119";"2010JJ00";"      38";"       2";"       .";"      36";"       .";"       0"
"144";"119";"2011JJ00";"      45";"       .";"       2";"      40";"       .";"       2"
"145";"119";"2012JJ00";"      46";"       .";"       .";"       .";"       .";"       ."
"146";"119";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"147";"119";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"148";"119";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"149";"119";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"150";"120";"2002JJ00";"      10";"       3";"       .";"       2";"       0";"       4"
"151";"120";"2003JJ00";"      23";"       2";"       .";"       2";"       0";"      16"
"152";"120";"2004JJ00";"      42";"       3";"       .";"      10";"       .";"      29"
"153";"120";"2005JJ00";"      27";"       6";"       .";"      10";"       .";"       7"
"154";"120";"2006JJ00";"      15";"       0";"       .";"       7";"       .";"       6"
"155";"120";"2007JJ00";"      24";"       0";"       0";"      15";"       0";"       9"
"156";"120";"2008JJ00";"      29";"       6";"       .";"      13";"       .";"       9"
"157";"120";"2009JJ00";"      17";"       4";"       .";"       4";"       2";"       3"
"158";"120";"2010JJ00";"      22";"       6";"       .";"       5";"       2";"       9"
"159";"120";"2011JJ00";"      32";"      12";"       1";"      17";"       .";"       2"
"160";"120";"2012JJ00";"      29";"       .";"       .";"       .";"       .";"       ."
"161";"120";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"162";"120";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"163";"120";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"164";"120";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"165";"121";"2002JJ00";"     983";"     193";"      43";"       7";"      78";"     663"
"166";"121";"2003JJ00";"     931";"     259";"      69";"       4";"      63";"     536"
"167";"121";"2004JJ00";"    1029";"     302";"      48";"      14";"      83";"     582"
"168";"121";"2005JJ00";"     990";"     268";"      86";"      24";"      53";"     559"
"169";"121";"2006JJ00";"     937";"     292";"      48";"      38";"      68";"     491"
"170";"121";"2007JJ00";"    1213";"     285";"      80";"      27";"     111";"     711"
"171";"121";"2008JJ00";"    1118";"     340";"      44";"       8";"      53";"     674"
"172";"121";"2009JJ00";"    1456";"     510";"      70";"      34";"     129";"     714"
"173";"121";"2010JJ00";"    1132";"     429";"      43";"      38";"      77";"     544"
"174";"121";"2011JJ00";"    1251";"     615";"      72";"      31";"      97";"     436"
"175";"121";"2012JJ00";"    1318";"     594";"      80";"      65";"     115";"     464"
"176";"121";"2013JJ00";"    1280";"     648";"      33";"      38";"     116";"     444"
"177";"121";"2014JJ00";"    1271";"     664";"      57";"      27";"      74";"     450"
"178";"121";"2015JJ00";"    1411";"     733";"      60";"      46";"      99";"     474"
"179";"121";"2016JJ00";"    1444";"     788";"      30";"      58";"     117";"     451"
"180";"122";"2002JJ00";"      43";"       0";"       .";"      34";"       0";"       8"
"181";"122";"2003JJ00";"      53";"       7";"       .";"      35";"       0";"       4"
"182";"122";"2004JJ00";"      42";"       0";"       .";"      41";"       .";"       1"
"183";"122";"2005JJ00";"      46";"       0";"       .";"      37";"       .";"       4"
"184";"122";"2006JJ00";"      41";"       0";"       .";"      36";"       .";"       5"
"185";"122";"2007JJ00";"      48";"       0";"       0";"      48";"       0";"       0"
"186";"122";"2008JJ00";"      67";"       0";"       .";"      67";"       .";"       0"
"187";"122";"2009JJ00";"      73";"       3";"       .";"      62";"       0";"       7"
"188";"122";"2010JJ00";"      95";"       4";"       .";"      91";"       .";"       0"
"189";"122";"2011JJ00";"      82";"       .";"       .";"      78";"       .";"       4"
"190";"122";"2012JJ00";"      94";"       .";"       .";"       .";"       .";"       ."
"191";"122";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"192";"122";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"193";"122";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"194";"122";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"195";"123";"2002JJ00";"       2";"       0";"       .";"       2";"       0";"       0"
"196";"123";"2003JJ00";"       0";"       0";"       .";"       0";"       0";"       0"
