"Bestemming en seizoen";"Vakantiekenmerken";"Perioden";"Deelname/Totaal Nederlanders (x 1 000)";"Vakanties/Totaal (x 1 000)";"Vakantiedagen/Totaal (mln )";"Overnachtingen/Totaal (mln )";"Uitgaven/Totaal (mln euro)"
"Vakantiebestemming: buitenland";"Organisatie: pakketreis";"2017*";"    3762";"    4787";"    52.2";"    47.4";"    5671"
"Vakantiebestemming: buitenland";"Organisatie: pakketreis";"2018*";"    3840";"    4996";"    53.0";"    48.0";"    5932"
"Vakantiebestemming: buitenland";"Organisatie: samengestelde reis";"2017*";"    2892";"    4197";"    41.1";"    36.9";"    4166"
"Vakantiebestemming: buitenland";"Organisatie: samengestelde reis";"2018*";"    3066";"    4354";"    45.7";"    41.4";"    4475"
"Vakantiebestemming: buitenland";"Organisatie: alleen accommodatie";"2017*";"    5162";"    7130";"    69.3";"    62.2";"    3708"
"Vakantiebestemming: buitenland";"Organisatie: alleen accommodatie";"2018*";"    5431";"    7607";"    74.7";"    67.1";"    3996"
"Vakantiebestemming: buitenland";"Organisatie: alleen vervoer";"2017*";"    1574";"    1979";"    29.6";"    27.6";"    1789"
"Vakantiebestemming: buitenland";"Organisatie: alleen vervoer";"2018*";"    1389";"    1725";"    24.5";"    22.7";"    1535"
"Vakantiebestemming: buitenland";"Organisatie: op de bonnefooi";"2017*";"    2120";"    2700";"    35.0";"    32.3";"    1291"
"Vakantiebestemming: buitenland";"Organisatie: op de bonnefooi";"2018*";"    1806";"    2232";"    30.4";"    28.2";"     972"
"Vakantiebestemming: buitenland";"Reisgezelschap: alleenreizende";"2017*";"     877";"    1296";"    15.0";"    13.7";"    1287"
"Vakantiebestemming: buitenland";"Reisgezelschap: alleenreizende";"2018*";"    1055";"    1598";"    18.3";"    16.7";"    1727"
"Vakantiebestemming: buitenland";"Reisgezelschap: paar zonder kinderen";"2017*";"    4342";"    7924";"    98.3";"    90.4";"    7304"
"Vakantiebestemming: buitenland";"Reisgezelschap: paar zonder kinderen";"2018*";"    4136";"    7224";"    90.2";"    83.0";"    6574"
"Vakantiebestemming: buitenland";"Reisgezelschap: volwassene en kind(eren)";"2017*";"    4487";"    7108";"    82.1";"    75.0";"    4148"
"Vakantiebestemming: buitenland";"Reisgezelschap: volwassene en kind(eren)";"2018*";"    4420";"    7256";"    83.9";"    76.7";"    4434"
"Vakantiebestemming: buitenland";"Reisgezelschap: familie, anderen";"2017*";"    2531";"    3369";"    32.6";"    29.2";"    2622"
"Vakantiebestemming: buitenland";"Reisgezelschap: familie, anderen";"2018*";"    2627";"    3469";"    33.2";"    29.7";"    2589"
"Vakantiebestemming: buitenland";"Reisgezelschap: vrienden, bekenden, e.a.";"2017*";"    1736";"    2388";"    18.6";"    16.2";"    1791"
"Vakantiebestemming: buitenland";"Reisgezelschap: vrienden, bekenden, e.a.";"2018*";"    1814";"    2569";"    20.6";"    18.0";"    2112"
"Vakantiebestemming: buitenland";"Soort vakantie: eigen recreatieve accom.";"2017*";"     597";"    1290";"    19.4";"    18.1";"     526"
"Vakantiebestemming: buitenland";"Soort vakantie: eigen recreatieve accom.";"2018*";"     632";"    1202";"    17.9";"    16.7";"     528"
"Vakantiebestemming: buitenland";"Soort vakantie: actief";"2017*";"    2934";"    3802";"    40.2";"    36.4";"    2670"
"Vakantiebestemming: buitenland";"Soort vakantie: actief";"2018*";"    2732";"    3570";"    38.7";"    35.1";"    2513"
"Vakantiebestemming: buitenland";"Soort vakantie: strand";"2017*";"    3197";"    3793";"    50.0";"    46.2";"    3496"
"Vakantiebestemming: buitenland";"Soort vakantie: strand";"2018*";"    3110";"    3733";"    49.2";"    45.5";"    3572"
"Vakantiebestemming: buitenland";"Soort vakantie: steden";"2017*";"    2721";"    3766";"    22.5";"    18.7";"    2188"
"Vakantiebestemming: buitenland";"Soort vakantie: steden";"2018*";"    2740";"    3780";"    23.0";"    19.3";"    2248"
"Vakantiebestemming: buitenland";"Soort vakantie: natuur";"2017*";"    1148";"    1310";"    18.2";"    16.9";"    1180"
"Vakantiebestemming: buitenland";"Soort vakantie: natuur";"2018*";"    1052";"    1197";"    15.7";"    14.5";"    1015"
"Vakantiebestemming: buitenland";"Soort vakantie: cultuur";"2017*";"    1253";"    1450";"    13.4";"    11.9";"    1082"
"Vakantiebestemming: buitenland";"Soort vakantie: cultuur";"2018*";"    1245";"    1455";"    12.8";"    11.3";"    1006"
"Vakantiebestemming: buitenland";"Soort vakantie: recreatie";"2017*";"     540";"     599";"     3.6";"     3.0";"     275"
"Vakantiebestemming: buitenland";"Soort vakantie: recreatie";"2018*";"     584";"     686";"     5.4";"     4.7";"     381"
"Vakantiebestemming: buitenland";"Soort vakantie: rondreis";"2017*";"    1418";"    1591";"    29.5";"    27.9";"    2963"
"Vakantiebestemming: buitenland";"Soort vakantie: rondreis";"2018*";"    1554";"    1720";"    31.7";"    30.0";"    3107"
"Vakantiebestemming: buitenland";"Soort vakantie: familie, vrienden, e.d.";"2017*";"    2205";"    2717";"    29.7";"    27.0";"    1464"
"Vakantiebestemming: buitenland";"Soort vakantie: familie, vrienden, e.d.";"2018*";"    1845";"    2277";"    23.5";"    21.2";"    1259"
"Vakantiebestemming: buitenland";"Soort vakantie: overig, onbekend";"2017*";"    1600";"    1766";"    20.0";"    18.3";"    1307"
"Vakantiebestemming: buitenland";"Soort vakantie: overig, onbekend";"2018*";"    2134";"    2495";"    28.3";"    25.9";"    1809"
"Vakantiebestemming: buitenland";"Vakantieduur: 2 tot 5 dagen (kort)";"2017*";"    3177";"    4586";"    15.3";"    10.7";"    1443"
"Vakantiebestemming: buitenland";"Vakantieduur: 2 tot 5 dagen (kort)";"2018*";"    3225";"    4503";"    15.0";"    10.5";"    1455"
"Vakantiebestemming: buitenland";"Vakantieduur: 5 of meer dagen (lang)";"2017*";"   10302";"   17498";"   231.3";"   213.8";"   15707"
"Vakantiebestemming: buitenland";"Vakantieduur: 5 of meer dagen (lang)";"2018*";"   10293";"   17614";"   231.2";"   213.6";"   15981"
"Vakantiebestemming: buitenland";"Vakantieduur: 5 tot 9 dagen";"2017*";"    5033";"    6894";"    46.7";"    39.8";"    3814"
