"ID";"BestemmingEnSeizoen";"Vakantiekenmerken";"Perioden";"TotaalNederlanders_1";"PercentageNederlanders_2";"Totaal_3";"GemiddeldPerNederlander_4";"GemiddeldPerDeelnemer_5";"Totaal_6";"GemiddeldPerNederlander_7";"GemiddeldPerDeelnemer_8";"GemiddeldPerVakantie_9";"Totaal_10";"GemiddeldPerNederlander_11";"GemiddeldPerDeelnemer_12";"GemiddeldPerVakantie_13";"Totaal_14";"GemiddeldPerNederlander_15";"GemiddeldPerDeelnemer_16";"GemiddeldPerPersoonPerVakantie_17";"GemiddeldPerPersoonPerVakantiedag_18"
"335";"A045879";"A046369";"2018JJ00";"    3509";"    20.7";"    5747";"     0.3";"     1.6";"    46.8";"     2.8";"    13.3";"     8.1";"    41.1";"     2.4";"    11.7";"     7.1";"    3068";"     181";"     874";"     534";"      66"
"336";"A045879";"A046370";"2017JJ00";"    3735";"    22.2";"    5701";"     0.3";"     1.5";"    36.7";"     2.2";"     9.8";"     6.4";"    31.0";"     1.8";"     8.3";"     5.4";"    1650";"      98";"     442";"     289";"      45"
"337";"A045879";"A046370";"2018JJ00";"    3597";"    21.2";"    5519";"     0.3";"     1.5";"    37.5";"     2.2";"    10.4";"     6.8";"    32.0";"     1.9";"     8.9";"     5.8";"    1733";"     102";"     482";"     314";"      46"
"338";"A045879";"A046371";"2017JJ00";"    2093";"    12.4";"    2601";"     0.2";"     1.2";"    17.6";"     1.0";"     8.4";"     6.8";"    15.0";"     0.9";"     7.2";"     5.8";"    1337";"      79";"     639";"     514";"      76"
"339";"A045879";"A046371";"2018JJ00";"    2007";"    11.8";"    2482";"     0.1";"     1.2";"    16.3";"     1.0";"     8.1";"     6.6";"    13.8";"     0.8";"     6.9";"     5.6";"    1165";"      69";"     581";"     469";"      71"
"340";"A045879";"A046372";"2017JJ00";"    1304";"     7.7";"    1704";"     0.1";"     1.3";"     9.7";"     0.6";"     7.4";"     5.7";"     8.0";"     0.5";"     6.1";"     4.7";"     832";"      49";"     638";"     488";"      86"
"341";"A045879";"A046372";"2018JJ00";"    1308";"     7.7";"    1750";"     0.1";"     1.3";"    10.7";"     0.6";"     8.2";"     6.1";"     8.9";"     0.5";"     6.8";"     5.1";"    1070";"      63";"     818";"     612";"     100"
"342";"A045879";"A047372";"2017JJ00";"     987";"     5.9";"    2107";"     0.1";"     2.1";"    18.4";"     1.1";"    18.6";"     8.7";"    16.3";"     1.0";"    16.5";"     7.7";"     308";"      18";"     312";"     146";"      17"
"343";"A045879";"A047372";"2018JJ00";"     947";"     5.6";"    1977";"     0.1";"     2.1";"    17.8";"     1.0";"    18.8";"     9.0";"    15.8";"     0.9";"    16.7";"     8.0";"     321";"      19";"     339";"     162";"      18"
"344";"A045879";"A046378";"2017JJ00";"    2491";"    14.8";"    3143";"     0.2";"     1.3";"    23.0";"     1.4";"     9.2";"     7.3";"    19.8";"     1.2";"     8.0";"     6.3";"    1548";"      92";"     621";"     493";"      67"
"345";"A045879";"A046378";"2018JJ00";"    2256";"    13.3";"    2862";"     0.2";"     1.3";"    21.2";"     1.3";"     9.4";"     7.4";"    18.3";"     1.1";"     8.1";"     6.4";"    1494";"      88";"     662";"     522";"      70"
"346";"A045879";"A046384";"2017JJ00";"    1167";"     6.9";"    1313";"     0.1";"     1.1";"    13.7";"     0.8";"    11.7";"    10.4";"    12.3";"     0.7";"    10.6";"     9.4";"    1061";"      63";"     909";"     808";"      78"
